,Nombre
872,Audi A5 SPORTBACK MY18 2.0 TDI MAN. 6V 140KW (190CV) QUATTRO PK33
1436,BMW M4 Coupe M4 Automatico (F82) (CO2 194) (3R91) (317kW)
1437,BMW M4 Coupe M4 Automatico (F82) (CO2 194) (3R91) (331kW)
1438,BMW M4 GTS Coupe M4 GTS Automatico (F82) (CO2 199) (4S91)
1827,BMW Serie 2 Cabrio 228i Grupo 1 (F23) (CO2 159) (1K51)
2128,BMW Serie 3 Berlina 320i Grupo 2 (F30) (CO2 147) (3B11)
2130,BMW Serie 3 Berlina 320i Grupo 2 Automático (F30) (CO2 129) (8A11)
2184,BMW Serie 3 Berlina 330e iPerformance Grupo 2 Automatico (F30) (CO2 45) (8E11)
2220,BMW Serie 3 Gran 330d Grupo 1 Automatico (F34) (CO2 135) (8T71)
2236,BMW Serie 3 Gran Turismo 318d Grupo 3 (F34) (CO2 123) (8T11)
2339,BMW Serie 3 Gran Turismo 330i xDrive Grupo 2 Automatico (F34) (CO2 147) (8X91)
2340,BMW Serie 3 Gran Turismo 330i xDrive Grupo 3 Automatico (F34) (CO2 152) (8X91)
2341,BMW Serie 3 Gran Turismo 335d xDrive Grupo 1 Automático (F34) (CO2 148) (3Z91)
2380,BMW serie 3 Touring 316i Grupo 2 Automático (F31) (CO2 143) (3G11)
2382,BMW serie 3 Touring 316i Grupo 3 Automático (F31) (CO2 144) (3G11)
3315,BMW X1 X1 sDrive18d
3316,BMW X1 X1 sDrive18d
3582,"Cadillac SRX 3.6 - V6 AUT 18"" (MY14)"
3682,"Cadillac SRX 3.6 - V6 AUT 18"" (MY14)"
3862,Chevrolet ORLANDO 2.0 VCDi 130CV LT (MY12)
4070,Citroën C4 Cactus PureTech 130 S&S 6v (emisiones 113g)
4077,Citroën C4 Picasso BlueHDi 100 S&S (con emisones de 100g)
4082,Citroën C4 Picasso BlueHDi 150 6v (con emisiones 102gr)
4086,Citroën C4 Picasso BlueHDi 150 6v (con emisiones 110 gr)
4175,Citroën Grand C4 SpaceTourer BlueHDi 130 EAT8 (con emisiones de 106g)
4192,Citroën JUMPER Camión Doble Cabina BlueHDi 160 35 Heavy L4 7 plazas
4228,Citroën JUMPER Combi 33 L2H2 HDi 150 (M1)
4289,Citroën JUMPER Furgón HDi 130 6v 35L3H2 Heavy
4348,Citroën Jumpy BlueHDi 150 S&S 6v Furgón Talla XL Club (AMD0) (2 Plazas)
4575,Citroën SpaceTourer (Business) BlueHDi 180 S&S EAT6 Talla XL
4639,CRRC TEG6820BEV05 M3
4656,Dacia Dokker Van 67F Tce 75kW (100CV) GPF (semi: FFAMBI2NU EM)
4690,Dacia Lodgy 5 pl 92J 1.6 75kW (102cv) Stepway
4693,Dacia Lodgy 5 pl 92J dci 70kW (95CV) N1 (semi: PKAMBI2 JL EM)
4694,Dacia Lodgy 5 pl 92J dci 85kW (115CV) 5PI - 18
4695,Dacia Lodgy 5 pl 92J dci 85kW (115CV) 5PI - 18 Stepway
4718,Dacia Logan MCV Fase 2 52K Blue dCi 70kW (95CV) - 18
4720,Dacia Logan MCV Fase 2 52K TCE 66kW (90CV) - 18
4843,Fiat 500C 500C Mirror 1.2 8v 51KW (69 CV)
4894,Fiat Doblo Cargo Base Plus 1.3 Mjet 70 kW (95 CV)
4974,Fiat Fiorino Cargo Base N1 1.3 MJet Diesel 59 kW (80 CV)
5189,Ford Focus Berlina 2.0 EcoBlue 150CV Automático (6.2)
5203,Ford Focus Sportbreak 2.0 EcoBlue 150CV (6.2)
5208,Ford Galaxy 2.0 TDCI 150CV Automático (6.2)
5243,Ford Grand C-Max 1.5 TDCi S/S 120CV (6.2)
5291,Ford Mondeo Sportbreak 2.0 TDCI 150CV (6.2)
5292,Ford Mondeo Sportbreak 2.0 TDCI 150CV Automático (6.2)
5298,Ford S-MAX 1.5 EcoBoost 165CV (6.2)
5322,Ford Tourneo Connect Batalla corta 1.5 TDCi S/S 120cv Automático (6.2)
5516,Goupil G5 E Litio PB + HP 500
5517,Goupil G5 E Litio PB + HP 500
5647,Hyundai Canarias i30 1.6 GLS CRDI STYLE
5701,Hyundai Canarias iX35 2.0 CRDI 4WD STYLE
5764,Hyundai H1 H1 TRAVEL CRDI 2.5 136CV 8S (GD5DG8-1504-32)
5832,Hyundai i10 1.2 87CV PREMIUM BE
6022,Hyundai i20 FL 1.2 CVVT L 85 HP CITY S
6073,Hyundai i20 I20 3P MPI 1.2 85CV KLASS ORANGE
6258,Hyundai i30 5P 1.6CRDI AUT 110CV TECNO S SKY
6259,Hyundai i30 5P 1.6CRDI AUT 128CV STYLE
6260,Hyundai i30 5P 1.6CRDI AUT 128CV STYLE S
6646,Hyundai I30GD 1.6 CRDI110HP GLS TECNO AT SKY
7092,Hyundai ix35 5P GDI 1.6 135CV 4X2 ESSENCE
7093,Hyundai ix35 5P GDI 1.6 135CV 4X2 KLASS
7234,Hyundai KONA KONA TGDI 1.6 176CV 4X4 DT STYLE 2C RED
7942,Iveco Chasis Cab 50 C 14 N Paso 4350; 6V Cambio Manual
7953,Iveco Chasis Cab 50 C 14 Z N/P Paso 4100; 6V Cambio Manual
8128,Iveco EUROCARGO ML160E21K EVI_C CNG Paso 5670; Cambio Manual
8133,Iveco EUROCARGO ML80E21 CNG Paso 3690; Cambio Automático
8134,Iveco EUROCARGO ML80E21 CNG Paso 3690; Cambio Manual
8213,"Iveco Family 40 C 14 N SV 10,8 m3; 6V Cambio Manual"
8215,Iveco Family 40 C 14 N SV 16 m3; 6V Cambio Manual
8240,Iveco Family 50 C 14 Z N SV 12 m3; 6V Cambio Manual
8241,Iveco Family 50 C 14 Z N SV 16 m3; 6V Cambio Manual
8243,Iveco Family 50 C 14 Z N SV/P 12 m3; 6V Cambio Manual
8418,Iveco Furgón 50 C 14 Z N V/P 16 m3; 6V Cambio Manual
8419,"Iveco Furgón 50 C 14 Z N V/P 17,5 m3; 6V Cambio Manual"
8613,Jaguar E-PACE 2.0D I4 150 CV AWD Auto - HSE/R-Dynamic HSE
8739,Jeep Renegade 1.4 Mair Longitude 4x2 140CV E6
8741,Jeep Renegade 1.6 E.TorQ 110CV Sport 4x2 Manual 5 velocidades E6
8980,Kia CEED (CD) 1.4 T-GDi GT Line DCT
9002,Kia CEED TOURER 1.0 T-GDI 120 CV (88KW) GT-LINE
9003,Kia CEED TOURER 1.0 T-GDI 120 CV (88KW) TECH
9004,Kia CEED TOURER 1.0 TGDI 120cv CONCEPT
9029,Kia N.OPTIMA 1.6 CRDi VGT Business DCT Eco-Dyn
9030,Kia N.OPTIMA 1.6 CRDi VGT Business Eco-Dyn
9306,Kia STINGER (CK) 2.0 T-GDi GT Line 4x2
9779,Mahindra GOA AUTOTELAIO 2WD DC
9780,Mahindra GOA AUTOTELAIO 2WD SC
9782,Mahindra GOA AUTOTELAIO 4WD SC
10043,Mercedes-Benz Clase A Compacto (W177) 250 4MATIC aut.
10044,Mercedes-Benz Clase A Compacto (W177) 35 4MATIC+
10045,Mercedes-Benz Clase A Sedán (V177) 180 aut.
10115,Mercedes-Benz Clase E Berlina (W213) 63 S 4MATIC+
10116,Mercedes-Benz Clase E Cabrio (A238) 220 d
10117,Mercedes-Benz Clase E Cabrio (A238) 220 d 4MATIC
10132,Mercedes-Benz Clase E Estate (S213) 220 d
10133,Mercedes-Benz Clase E Estate (S213) 220 d 4MATIC
10150,Mercedes-Benz Clase S Berlina Corta (W222) 450 (FL)
10175,Mercedes-Benz Clase V V200 d 4MATIC BE extralarga AUT.
10647,"Mercedes-Benz Sprinter 314 CDI CHASIS CABINA COMPACTO man. (i=4,182) (euro VI-C)"
